genre,boxoffice,rating,0
Action,39915677.0,6.11272189349,1352
Adult,0.0,4.89090909091,11
Adventure,8084022.0,6.21555763824,1067
Animation,213950000.0,7.19404761905,252
Biography,18177.0,7.02857142857,308
Comedy,294837722.0,6.34756515775,2916
Crime,47207627.0,6.4872421696,1309
Documentary,15642.0,7.30320699708,343
Drama,111642441.0,6.7512895268,4459
Family,4000000.0,6.56399082569,436
Fantasy,8548170.0,6.142,500
Film-Noir,0.0,7.4,1
History,33819.0,7.22287581699,306
Horror,320325.0,5.63473774721,1163
Music,1899610.0,6.76618705036,278
Musical,4000000.0,6.35463414634,205
Mystery,0.0,6.41841620626,543
N/A,0.0,6.24782608696,46
Romance,13284089.0,6.59029850746,1072
Sci-Fi,3945800.0,5.53494623656,558
Short,213950000.0,7.27050359712,139
Sport,80804.0,6.28852459016,122
Thriller,1606710.0,6.24949392713,988
War,12890968.0,6.86695156695,351
Western,25097.0,6.291966759,361
