genre,boxoffice,rating,0
Action,0.0,6.71,50
Adventure,18236900.0,6.94659090909,88
Animation,0.0,6.87222222222,36
Biography,0.0,6.81111111111,18
Comedy,250525.0,6.85843230404,421
Crime,17599.0,6.8296875,128
Documentary,0.0,6.49210526316,38
Drama,19085597.0,6.87526717557,655
Family,0.0,7.11333333333,45
Fantasy,0.0,6.79594594595,74
Film-Noir,0.0,6.89230769231,13
History,50970.0,6.88139534884,43
Horror,0.0,6.89841269841,63
Music,0.0,6.875,12
Musical,0.0,6.96486486486,74
Mystery,17599.0,6.66612903226,62
N/A,0.0,7.2,5
Romance,18236900.0,6.91797101449,345
Sci-Fi,529603.0,7.16923076923,13
Short,0.0,6.45714285714,217
Sport,0.0,7.04666666667,15
Thriller,0.0,6.88064516129,31
War,0.0,7.06578947368,38
Western,0.0,6.33695652174,46
