genre,boxoffice,rating,0
Action,726746464.0,5.96705150977,2252
Adult,0.0,4.89090909091,11
Adventure,644071922.0,6.16427664975,1576
Animation,364418560.0,6.99686847599,479
Biography,75482.0,7.04372693727,542
Comedy,457695425.0,6.26498786408,4944
Crime,231745633.0,6.43435611344,2151
Documentary,17655742.0,7.33733333333,600
Drama,331633495.0,6.69137835594,7226
Family,247640460.0,6.25798004988,802
Fantasy,543640935.0,6.04129651861,833
Film-Noir,0.0,7.4,2
History,41051.0,7.19068736142,451
Horror,320325.0,5.53610586011,1587
Music,1899610.0,6.82611607143,448
Musical,4000000.0,6.40540540541,259
Mystery,545622.0,6.38832116788,822
N/A,0.0,6.32857142857,63
Romance,74129926.0,6.50168986083,2012
Sci-Fi,247362500.0,5.45720620843,902
Short,231590100.0,7.13941908714,241
Sport,840946.0,6.17533039648,227
Talk-Show,0.0,7.0,1
Thriller,259642083.0,6.10411124547,1654
War,12890968.0,6.89337748344,453
Western,25097.0,6.25946601942,412
