genre,boxoffice,rating,0
Action,0.0,6.73218390805,87
Adventure,22077600.0,6.8358974359,195
Animation,0.0,7.109375,64
Biography,0.0,6.93962264151,53
Comedy,1366165.0,6.89272486772,756
Crime,44364.0,6.80538461538,260
Documentary,0.0,6.53191489362,47
Drama,20400887.0,6.86355311355,1092
Family,3840700.0,7.15714285714,91
Fantasy,3840700.0,6.83365384615,104
Film-Noir,0.0,6.88048780488,41
History,50970.0,6.87422680412,97
Horror,0.0,6.76930693069,101
Music,0.0,6.60810810811,37
Musical,0.0,6.87065868263,167
Mystery,17599.0,6.6979020979,143
N/A,0.0,6.78333333333,6
News,0.0,6.3,1
Romance,18263665.0,6.9196369637,606
Sci-Fi,529603.0,6.965625,32
Short,0.0,6.52703862661,233
Sport,0.0,6.96538461538,26
Thriller,0.0,6.88275862069,58
War,172885.0,6.91142857143,70
Western,0.0,6.32823529412,85
