genre,boxoffice,rating,0
Action,0.0,6.68301886792,212
Adventure,22077600.0,6.69775561097,401
Animation,0.0,7.14887218045,133
Biography,0.0,6.94330708661,127
Comedy,1370039.0,6.8731277533,1362
Crime,44364.0,6.80922190202,694
Documentary,0.0,6.70512820513,78
Drama,20536085.0,6.89330970315,2257
Family,3862248.0,7.09796954315,197
Fantasy,3846854.0,6.90268817204,186
Film-Noir,57745.0,6.89717647059,425
History,50970.0,6.82873563218,174
Horror,0.0,6.52333333333,180
Music,0.0,6.6476635514,107
Musical,0.0,6.76016949153,354
Mystery,75344.0,6.76531986532,297
N/A,0.0,6.73333333333,12
News,0.0,6.3,1
Romance,18263665.0,6.90071813285,1114
Sci-Fi,533477.0,6.22771084337,83
Short,0.0,6.63775510204,294
Sport,0.0,6.83272727273,55
Thriller,0.0,6.87680412371,194
War,183347.0,6.88560311284,257
Western,0.0,6.43157894737,247
