genre,boxoffice,rating,0
Action,25097.0,6.38451882845,239
Adventure,135620.0,6.29166666667,324
Animation,0.0,7.29230769231,39
Biography,18177.0,7.02295081967,61
Comedy,121137.0,6.59102209945,724
Crime,566343.0,6.73691275168,298
Documentary,0.0,7.37884615385,52
Drama,881399.0,6.95305623472,1227
Family,0.0,6.4731092437,119
Fantasy,0.0,6.1640776699,103
Film-Noir,0.0,7.4,1
History,18177.0,7.04787234043,94
Horror,0.0,5.88,210
Music,0.0,6.65714285714,42
Musical,0.0,6.30740740741,81
Mystery,0.0,6.69398496241,133
N/A,0.0,6.55714285714,7
Romance,39946.0,6.8328125,320
Sci-Fi,203123.0,5.42556390977,133
Short,0.0,7.3380952381,42
Sport,0.0,6.75625,16
Thriller,148501.0,6.64488636364,176
War,80204.0,7.07712418301,153
Western,25097.0,6.39821428571,168
