genre,boxoffice,rating,0
Action,0.0,6.73636363636,11
Adventure,0.0,7.05833333333,24
Animation,0.0,6.8125,8
Biography,0.0,6.7,2
Comedy,250525.0,6.65581395349,129
Crime,0.0,6.80952380952,21
Documentary,0.0,5.475,16
Drama,250525.0,6.70510948905,137
Family,0.0,7.19230769231,13
Fantasy,0.0,6.62666666667,45
History,0.0,6.53,10
Horror,0.0,6.99375,16
Music,0.0,6.9,1
Mystery,0.0,6.75555555556,9
Romance,0.0,6.96470588235,34
Sci-Fi,0.0,6.83333333333,3
Short,0.0,6.34879518072,166
Sport,0.0,6.86666666667,3
Thriller,0.0,7.625,4
War,0.0,6.925,8
Western,0.0,6.5,11
