genre,boxoffice,rating,0
Action,0.0,6.69,10
Adventure,0.0,6.97,20
Animation,0.0,6.8125,8
Biography,0.0,6.7,2
Comedy,250525.0,6.61709401709,117
Crime,0.0,6.74210526316,19
Documentary,0.0,5.32666666667,15
Drama,250525.0,6.65714285714,119
Family,0.0,7.075,8
Fantasy,0.0,6.55609756098,41
History,0.0,6.51111111111,9
Horror,0.0,6.92,15
Music,0.0,6.9,1
Mystery,0.0,6.91666666667,6
Romance,0.0,6.85555555556,27
Sci-Fi,0.0,6.83333333333,3
Short,0.0,6.31794871795,156
Sport,0.0,6.7,2
Thriller,0.0,7.6,1
War,0.0,6.78571428571,7
Western,0.0,6.45,10
