genre,boxoffice,rating,0
Action,0.0,6.89210526316,38
Adventure,18236900.0,7.04507042254,71
Animation,0.0,7.00454545455,22
Biography,0.0,6.73,10
Comedy,250525.0,6.83742138365,318
Crime,17599.0,6.87096774194,93
Documentary,0.0,6.42571428571,35
Drama,19085597.0,6.90552268245,507
Family,0.0,7.228125,32
Fantasy,0.0,6.79411764706,68
Film-Noir,0.0,7.0,12
History,50970.0,6.83870967742,31
Horror,0.0,7.02884615385,52
Music,0.0,7.2875,8
Musical,0.0,6.92619047619,42
Mystery,17599.0,6.66511627907,43
N/A,0.0,7.2,5
Romance,18236900.0,6.99632653061,245
Sci-Fi,529603.0,7.16666666667,9
Short,0.0,6.44278606965,201
Sport,0.0,7.10714285714,14
Thriller,0.0,6.96,25
War,0.0,7.06428571429,28
Western,0.0,6.57272727273,33
