genre,boxoffice,rating,0
Action,0.0,6.72551724138,145
Adventure,22077600.0,6.8148409894,283
Animation,0.0,7.05566037736,106
Biography,0.0,6.96888888889,90
Comedy,1366165.0,6.88096980787,1093
Crime,44364.0,6.82456896552,464
Documentary,0.0,6.68985507246,69
Drama,20500201.0,6.88605072464,1656
Family,3840700.0,7.16102941176,136
Fantasy,3840700.0,6.87070063694,157
Film-Noir,57745.0,6.9504587156,218
History,50970.0,6.88656716418,134
Horror,0.0,6.55379746835,158
Music,0.0,6.65,86
Musical,0.0,6.79553903346,269
Mystery,75344.0,6.76153846154,260
N/A,0.0,6.70909090909,11
News,0.0,6.3,1
Romance,18263665.0,6.92224719101,890
Sci-Fi,529603.0,6.76222222222,45
Short,0.0,6.58265682657,271
Sport,0.0,6.94193548387,31
Thriller,0.0,6.8024,125
War,172885.0,6.89790575916,191
Western,0.0,6.39724137931,145
