genre,boxoffice,rating,0
Action,295717308.0,5.97306084533,2153
Adult,0.0,4.89090909091,11
Adventure,213071922.0,6.1617202889,1523
Animation,364418560.0,7.00561797753,445
Biography,75482.0,7.055859375,512
Comedy,457695425.0,6.26503001715,4664
Crime,231716477.0,6.43193564115,2051
Documentary,17655742.0,7.34724689165,563
Drama,331380512.0,6.6954379828,6861
Family,247640460.0,6.27110519308,751
Fantasy,112640935.0,6.04154040404,792
Film-Noir,0.0,7.4,2
History,41051.0,7.20790697674,430
Horror,320325.0,5.54582524272,1545
Music,1899610.0,6.80714285714,420
Musical,4000000.0,6.39841269841,252
Mystery,545622.0,6.39073604061,788
N/A,0.0,6.2775862069,58
Romance,73906099.0,6.51700643777,1864
Sci-Fi,247362500.0,5.45829493088,868
Short,231590100.0,7.14910714286,224
Sport,840946.0,6.17558685446,213
Talk-Show,0.0,7.0,1
Thriller,259642083.0,6.10462130937,1558
War,12890968.0,6.88424657534,438
Western,25097.0,6.26314496314,407
