genre,boxoffice,rating,0
Action,0.0,6.49152542373,59
Adventure,0.0,6.29818181818,110
Animation,0.0,7.14285714286,7
Biography,0.0,6.82068965517,29
Comedy,83486.0,6.69375,240
Crime,511531.0,7.00096153846,104
Documentary,0.0,7.36363636364,11
Drama,609132.0,7.04103092784,485
Family,0.0,6.64318181818,44
Fantasy,0.0,6.08536585366,41
Film-Noir,0.0,7.4,1
History,0.0,6.86818181818,44
Horror,0.0,5.81830985915,71
Music,0.0,6.42727272727,11
Musical,0.0,6.60714285714,28
Mystery,0.0,7.02452830189,53
Romance,3278.0,6.86307692308,130
Sci-Fi,0.0,5.05,48
Short,0.0,7.56666666667,9
Sport,0.0,6.8375,8
Thriller,148501.0,7.00384615385,52
War,24296.0,7.1568627451,51
Western,0.0,6.716,25
