genre,boxoffice,rating,0
Action,0.0,6.43076923077,13
Adventure,0.0,6.3275862069,29
Animation,0.0,7.4,1
Biography,0.0,6.93636363636,11
Comedy,0.0,6.62407407407,54
Crime,148501.0,6.82894736842,38
Documentary,0.0,7.35,2
Drama,148501.0,6.92846153846,130
Family,0.0,6.56923076923,13
Fantasy,0.0,5.89333333333,15
History,0.0,7.09090909091,11
Horror,0.0,6.35882352941,17
Music,0.0,6.5,4
Musical,0.0,6.81666666667,6
Mystery,0.0,7.18,15
Romance,0.0,6.85,42
Sci-Fi,0.0,5.17692307692,13
Short,0.0,7.4,1
Sport,0.0,6.0,1
Thriller,148501.0,6.725,16
War,0.0,7.0375,16
Western,0.0,6.68,10
