genre,boxoffice,rating,0
Action,25110214792.0,5.92377267876,3748
Adult,0.0,4.75833333333,12
Adventure,28701440968.0,6.11570576541,2515
Animation,9762545657.0,6.8008356546,1077
Biography,3028696592.0,7.02628458498,1012
Comedy,32569246402.0,6.19459298871,8415
Crime,11296238532.0,6.3804477189,3529
Documentary,1114979936.0,7.2920387305,1859
Drama,27987371563.0,6.61873212583,12588
Family,12284560905.0,6.13395549174,1393
Fantasy,12299191099.0,6.02094545455,1375
Film-Noir,0.0,7.4,2
History,1882593890.0,7.14045092838,754
Horror,5761993122.0,5.37300683371,2634
Music,1536737969.0,6.8341607565,846
Musical,643721330.0,6.39949748744,398
Mystery,6027042435.0,6.2524060646,1517
N/A,0.0,6.33564356436,101
News,14342800.0,7.36,5
Romance,11635078967.0,6.42099730458,3710
Sci-Fi,7108548957.0,5.45014619883,1368
Short,412903980.0,7.05038167939,524
Sport,2653135194.0,6.33185840708,452
Talk-Show,0.0,7.0,1
Thriller,11428288250.0,5.94980053191,3008
War,802240940.0,6.88125,672
Western,102487047.0,6.24966740576,451
