genre,boxoffice,rating,0
Action,0.0,6.24230769231,26
Adventure,0.0,6.28301886792,53
Animation,0.0,7.2,3
Biography,0.0,6.775,16
Comedy,0.0,6.67346938776,98
Crime,511531.0,6.95714285714,56
Documentary,0.0,7.5,4
Drama,511531.0,6.98583333333,240
Family,0.0,6.65416666667,24
Fantasy,0.0,5.99545454545,22
History,0.0,6.85,20
Horror,0.0,5.9935483871,31
Music,0.0,6.4,6
Musical,0.0,6.70769230769,13
Mystery,0.0,7.18846153846,26
Romance,0.0,6.85915492958,71
Sci-Fi,0.0,4.81153846154,26
Short,0.0,7.125,4
Sport,0.0,7.43333333333,3
Thriller,148501.0,6.93,30
War,0.0,7.23703703704,27
Western,0.0,6.74705882353,17
