genre,boxoffice,rating,0
Action,0.0,6.37692307692,39
Adventure,0.0,6.3875,80
Animation,0.0,7.26,5
Biography,0.0,6.87916666667,24
Comedy,30791.0,6.68571428571,168
Crime,511531.0,6.91,80
Documentary,0.0,7.33333333333,6
Drama,584836.0,7.02026315789,380
Family,0.0,6.58823529412,34
Fantasy,0.0,6.12647058824,34
Film-Noir,0.0,7.4,1
History,0.0,6.82258064516,31
Horror,0.0,5.80943396226,53
Music,0.0,6.35555555556,9
Musical,0.0,6.5,18
Mystery,0.0,7.04358974359,39
Romance,3278.0,6.93267326733,101
Sci-Fi,0.0,5.00731707317,41
Short,0.0,7.5125,8
Sport,0.0,7.33333333333,6
Thriller,148501.0,6.99777777778,45
War,0.0,7.14102564103,39
Western,0.0,6.72272727273,22
