genre,boxoffice,rating,0
Action,25097.0,6.37597765363,179
Adventure,0.0,6.22835249042,261
Animation,0.0,7.276,25
Biography,0.0,6.982,50
Comedy,121137.0,6.60252707581,554
Crime,566343.0,6.79605263158,228
Documentary,0.0,7.33571428571,28
Drama,795719.0,7.01001064963,939
Family,0.0,6.47755102041,98
Fantasy,0.0,6.11529411765,85
Film-Noir,0.0,7.4,1
History,0.0,7.00131578947,76
Horror,0.0,5.77941176471,170
Music,0.0,6.61071428571,28
Musical,0.0,6.26060606061,66
Mystery,0.0,6.79207920792,101
N/A,0.0,6.275,4
Romance,39946.0,6.85396825397,252
Sci-Fi,0.0,5.19807692308,104
Short,0.0,7.37333333333,30
Sport,0.0,6.79166666667,12
Thriller,148501.0,6.78805970149,134
War,80204.0,7.10769230769,117
Western,25097.0,6.41037735849,106
