genre,boxoffice,rating,0
Action,4581567.0,6.26994011976,835
Adult,0.0,5.01,10
Adventure,4790143.0,6.29887955182,714
Animation,213950000.0,7.18642857143,140
Biography,18177.0,7.01617647059,204
Comedy,241812191.0,6.48183315038,1822
Crime,617356.0,6.54681318681,910
Documentary,0.0,7.23451327434,226
Drama,24729079.0,6.80729200128,3113
Family,4000000.0,6.53664383562,292
Fantasy,8548170.0,6.2773381295,278
Film-Noir,0.0,7.4,1
History,18177.0,7.20625,224
Horror,320325.0,5.70571808511,752
Music,0.0,6.85759493671,158
Musical,4000000.0,6.33202614379,153
Mystery,0.0,6.47468030691,391
N/A,0.0,6.20344827586,29
Romance,57621.0,6.69314868805,686
Sci-Fi,471224.0,5.45764705882,340
Short,213950000.0,7.25425531915,94
Sport,0.0,6.39367088608,79
Thriller,777710.0,6.39702380952,672
War,12875326.0,6.97481481481,270
Western,25097.0,6.27947976879,346
