genre,boxoffice,rating,0
Action,0.0,7.00322580645,31
Adventure,18236900.0,7.1126984127,63
Animation,0.0,6.95555555556,18
Biography,0.0,6.73,10
Comedy,250525.0,6.81913357401,277
Crime,17599.0,6.91506849315,73
Documentary,0.0,6.42571428571,35
Drama,19085597.0,6.90410958904,438
Family,0.0,7.2275862069,29
Fantasy,0.0,6.78153846154,65
Film-Noir,0.0,6.85,8
History,50970.0,6.86551724138,29
Horror,0.0,7.13157894737,38
Music,0.0,7.2875,8
Musical,0.0,6.85789473684,38
Mystery,17599.0,6.83571428571,28
N/A,0.0,7.225,4
Romance,18236900.0,7.0019138756,209
Sci-Fi,529603.0,7.13333333333,6
Short,0.0,6.4453125,192
Sport,0.0,7.07,10
Thriller,0.0,7.115,20
War,0.0,7.06666666667,24
Western,0.0,6.81851851852,27
