genre,boxoffice,rating,0
Action,15117558455.0,5.94055328513,3181
Adult,0.0,4.89090909091,11
Adventure,18038552688.0,6.14025676295,2181
Animation,5574993354.0,6.840433213,831
Biography,1797175328.0,7.03105968331,821
Comedy,22150158774.0,6.22648867766,7154
Crime,7211020819.0,6.39897520661,3025
Documentary,729509872.0,7.33067823344,1268
Drama,17723945208.0,6.6457337239,10583
Family,7784173600.0,6.16241554054,1184
Fantasy,8334133054.0,6.0471293916,1167
Film-Noir,0.0,7.4,2
History,1459373705.0,7.18341232227,633
Horror,3628817153.0,5.44447539461,2154
Music,954097825.0,6.81897810219,685
Musical,376254017.0,6.41927374302,358
Mystery,3956030615.0,6.29912350598,1255
N/A,0.0,6.29655172414,87
Romance,7539938010.0,6.438944,3125
Sci-Fi,3841814379.0,5.47031382528,1179
Short,354189280.0,7.12,395
Sport,1912424993.0,6.31202185792,366
Talk-Show,0.0,7.0,1
Thriller,7807941269.0,5.99608163265,2450
War,468037078.0,6.89349315068,584
Western,102487047.0,6.26788990826,436
