genre,boxoffice,rating,0
Action,0.0,6.7075,160
Adventure,22077600.0,6.77284345048,313
Animation,0.0,7.08347826087,115
Biography,0.0,6.96262626263,99
Comedy,1366165.0,6.87989821883,1179
Crime,44364.0,6.82826855124,566
Documentary,0.0,6.70857142857,70
Drama,20500201.0,6.89951923077,1872
Family,3840700.0,7.14203821656,157
Fantasy,3840700.0,6.8880952381,168
Film-Noir,57745.0,6.95174603175,315
History,50970.0,6.89178082192,146
Horror,0.0,6.56273291925,161
Music,0.0,6.64065934066,91
Musical,0.0,6.78350515464,291
Mystery,75344.0,6.78065693431,274
N/A,0.0,6.70909090909,11
News,0.0,6.3,1
Romance,18263665.0,6.92298850575,957
Sci-Fi,529603.0,6.67,50
Short,0.0,6.59891696751,277
Sport,0.0,6.94166666667,36
Thriller,0.0,6.82123287671,146
War,172885.0,6.92200956938,209
Western,0.0,6.44941860465,172
