genre,boxoffice,rating,0
Action,0.0,6.65408560311,257
Adventure,22077600.0,6.63381443299,485
Animation,0.0,7.16666666667,144
Biography,0.0,6.89540229885,174
Comedy,1387863.0,6.86894329897,1552
Crime,210847.0,6.79609756098,820
Documentary,0.0,6.78181818182,88
Drama,21770132.0,6.89539764359,2716
Family,3862248.0,7.09330357143,224
Fantasy,3846854.0,6.79049773756,221
Film-Noir,57745.0,6.87269076305,498
History,50970.0,6.79186602871,209
Horror,0.0,6.2164,250
Music,0.0,6.64523809524,126
Musical,0.0,6.76733167082,401
Mystery,75344.0,6.75758513932,323
N/A,0.0,6.64,15
News,0.0,6.3,1
Romance,19388455.0,6.88686073958,1271
Sci-Fi,533477.0,5.77565789474,152
Short,0.0,6.68235294118,306
Sport,0.0,6.86440677966,59
Thriller,166483.0,6.85895196507,229
War,183347.0,6.87182662539,323
Western,0.0,6.45585585586,333
