genre,boxoffice,rating,0
Action,25097.0,6.37877358491,212
Adventure,135620.0,6.27525423729,295
Animation,0.0,7.28125,32
Biography,18177.0,7.025,56
Comedy,121137.0,6.59400921659,651
Crime,566343.0,6.74117647059,272
Documentary,0.0,7.37857142857,42
Drama,881399.0,6.98228310502,1095
Family,0.0,6.48818181818,110
Fantasy,0.0,6.14183673469,98
Film-Noir,0.0,7.4,1
History,18177.0,7.05681818182,88
Horror,0.0,5.88376963351,191
Music,0.0,6.55,36
Musical,0.0,6.276,75
Mystery,0.0,6.73739837398,123
N/A,0.0,6.4,5
Romance,39946.0,6.83827586207,290
Sci-Fi,203123.0,5.36611570248,121
Short,0.0,7.36111111111,36
Sport,0.0,6.82857142857,14
Thriller,148501.0,6.71194968553,159
War,80204.0,7.09712230216,139
Western,25097.0,6.39275362319,138
