genre,boxoffice,rating,0
Action,33397.0,6.27513513514,740
Adult,0.0,5.23333333333,6
Adventure,135620.0,6.32614173228,635
Animation,213950000.0,7.2025,120
Biography,18177.0,7.01781609195,174
Comedy,226938847.0,6.51695979899,1592
Crime,617356.0,6.54825930372,833
Documentary,0.0,7.24720812183,197
Drama,9587634.0,6.81619047619,2835
Family,4000000.0,6.54269662921,267
Fantasy,4000000.0,6.30365853659,246
Film-Noir,0.0,7.4,1
History,18177.0,7.19145728643,199
Horror,320325.0,5.74256965944,646
Music,0.0,6.85227272727,132
Musical,4000000.0,6.38251748252,143
Mystery,0.0,6.52492836676,349
N/A,0.0,6.38076923077,26
Romance,57621.0,6.70781758958,614
Sci-Fi,203123.0,5.42760942761,297
Short,213950000.0,7.27640449438,89
Sport,0.0,6.40289855072,69
Thriller,671357.0,6.42516778523,596
War,12875326.0,6.98214285714,252
Western,25097.0,6.28138138138,333
