genre,boxoffice,rating,0
Action,0.0,6.69383259912,227
Adventure,22077600.0,6.6675,440
Animation,0.0,7.16071428571,140
Biography,0.0,6.92266666667,150
Comedy,1387863.0,6.87467398765,1457
Crime,101590.0,6.79830949285,769
Documentary,0.0,6.77469879518,83
Drama,21660875.0,6.89831189711,2488
Family,3862248.0,7.10666666667,210
Fantasy,3846854.0,6.86766169154,201
Film-Noir,57745.0,6.88185654008,474
History,50970.0,6.8112244898,196
Horror,0.0,6.43731343284,201
Music,0.0,6.66186440678,118
Musical,0.0,6.75593667546,379
Mystery,75344.0,6.76230031949,313
N/A,0.0,6.64,15
News,0.0,6.3,1
Romance,19388455.0,6.89286912752,1192
Sci-Fi,533477.0,6.01926605505,109
Short,0.0,6.65570469799,298
Sport,0.0,6.86206896552,58
Thriller,57226.0,6.89215686275,204
War,183347.0,6.8851590106,283
Western,0.0,6.4397260274,292
