genre,boxoffice,rating,0
Action,39915677.0,6.15434056761,1198
Adult,0.0,4.89090909091,11
Adventure,8003218.0,6.250668037,973
Animation,213950000.0,7.1882629108,213
Biography,18177.0,7.02114695341,279
Comedy,284074222.0,6.38099078341,2604
Crime,47207627.0,6.5005033557,1192
Documentary,15642.0,7.27261146497,314
Drama,100640513.0,6.76049412916,4088
Family,4000000.0,6.55139949109,393
Fantasy,8548170.0,6.15835294118,425
Film-Noir,0.0,7.4,1
History,33819.0,7.22759856631,279
Horror,320325.0,5.66125603865,1035
Music,1899610.0,6.7689516129,248
Musical,4000000.0,6.3441025641,195
Mystery,0.0,6.43525896414,502
N/A,0.0,6.2,41
Romance,2520589.0,6.62033368092,959
Sci-Fi,3945800.0,5.55338645418,502
Short,213950000.0,7.24173228346,127
Sport,0.0,6.31727272727,110
Thriller,1606710.0,6.29101995565,902
War,12890968.0,6.896875,320
Western,25097.0,6.28857938719,359
