genre,boxoffice,rating,0
Action,0.0,6.76320754717,106
Adventure,22077600.0,6.85248868778,221
Animation,0.0,7.11265822785,79
Biography,0.0,6.9625,64
Comedy,1366165.0,6.89551724138,870
Crime,44364.0,6.79339933993,303
Documentary,0.0,6.55576923077,52
Drama,20400887.0,6.85673234811,1218
Family,3840700.0,7.16699029126,103
Fantasy,3840700.0,6.84957264957,117
Film-Noir,0.0,6.85737704918,61
History,50970.0,6.87238095238,105
Horror,0.0,6.66896551724,116
Music,0.0,6.624,50
Musical,0.0,6.87384615385,195
Mystery,17599.0,6.71569767442,172
N/A,0.0,6.78333333333,6
News,0.0,6.3,1
Romance,18263665.0,6.91257225434,692
Sci-Fi,529603.0,6.9,36
Short,0.0,6.54197530864,243
Sport,0.0,6.96666666667,27
Thriller,0.0,6.788,75
War,172885.0,6.87731958763,97
Western,0.0,6.3306122449,98
