genre,boxoffice,rating,0
Action,295717308.0,5.9975748194,1938
Adult,0.0,4.89090909091,11
Adventure,147624322.0,6.17885304659,1395
Animation,364418560.0,7.07958656331,387
Biography,75482.0,7.05748373102,461
Comedy,434832453.0,6.27217809868,4155
Crime,209037052.0,6.43442444081,1833
Documentary,15642.0,7.36646216769,489
Drama,264475385.0,6.7044941984,6119
Family,199832960.0,6.35759878419,658
Fantasy,64833435.0,6.07799442897,718
Film-Noir,0.0,7.4,2
History,41051.0,7.22429667519,391
Horror,320325.0,5.55085091899,1469
Music,1899610.0,6.78783783784,370
Musical,4000000.0,6.38396624473,237
Mystery,0.0,6.37797783934,722
N/A,0.0,6.26862745098,51
Romance,13872299.0,6.52271313006,1607
Sci-Fi,247362500.0,5.48070617907,793
Short,213950000.0,7.187,200
Sport,80804.0,6.1935483871,186
Talk-Show,0.0,7.0,1
Thriller,259611110.0,6.12962962963,1404
War,12890968.0,6.87279411765,408
Western,25097.0,6.27443609023,399
