genre,boxoffice,rating,0
Action,0.0,6.74496124031,129
Adventure,22077600.0,6.8373540856,257
Animation,0.0,7.08469387755,98
Biography,0.0,6.98117647059,85
Comedy,1366165.0,6.87384007897,1013
Crime,44364.0,6.81067708333,384
Documentary,0.0,6.66119402985,67
Drama,20400887.0,6.86797033041,1483
Family,3840700.0,7.14444444444,126
Fantasy,3840700.0,6.82361111111,144
Film-Noir,0.0,6.91914893617,141
History,50970.0,6.87301587302,126
Horror,0.0,6.53725490196,153
Music,0.0,6.62567567568,74
Musical,0.0,6.81004016064,249
Mystery,17599.0,6.7400862069,232
N/A,0.0,6.76,10
News,0.0,6.3,1
Romance,18263665.0,6.91842424242,825
Sci-Fi,529603.0,6.75227272727,44
Short,0.0,6.57894736842,266
Sport,0.0,6.98214285714,28
Thriller,0.0,6.77053571429,112
War,172885.0,6.88241758242,182
Western,0.0,6.3880952381,126
