genre,boxoffice,rating,0
Action,43756843511.0,5.89940304652,4858
Adult,0.0,4.66923076923,13
Adventure,51269367450.0,6.12705544933,3138
Animation,16914514310.0,6.77703062583,1502
Biography,5014117481.0,7.00110032362,1545
Comedy,49996127149.0,6.1660318623,10922
Crime,16808705488.0,6.34556875286,4378
Documentary,1798889733.0,7.22231866088,3226
Drama,41645566270.0,6.56604336704,16418
Family,16385848037.0,6.13484513274,1808
Fantasy,18445531397.0,5.99125934445,1739
Film-Noir,0.0,7.4,2
Game-Show,0.0,5.5,1
History,2637549928.0,7.06962616822,1070
Horror,8552648489.0,5.2613474165,3503
Music,2247946968.0,6.84858962693,1099
Musical,883877994.0,6.40172043011,465
Mystery,9424448829.0,6.18644931228,1963
N/A,0.0,6.34732824427,131
News,14930203.0,7.29516129032,62
Reality-TV,0.0,4.8,1
Romance,16495952623.0,6.38128409568,4766
Sci-Fi,15380504296.0,5.42233502538,1773
Short,448685797.0,7.03007915567,758
Sport,3189491454.0,6.44588235294,595
Talk-Show,0.0,8.04,5
Thriller,18459910687.0,5.85300142925,4198
War,1133440003.0,6.82086513995,786
Western,576127711.0,6.24539877301,489
