genre,boxoffice,rating,0
Action,0.0,6.74032258065,124
Adventure,22077600.0,6.8324,250
Animation,0.0,7.09361702128,94
Biography,0.0,6.99102564103,78
Comedy,1366165.0,6.8715010142,986
Crime,44364.0,6.80056657224,353
Documentary,0.0,6.66615384615,65
Drama,20400887.0,6.86170818505,1405
Family,3840700.0,7.15245901639,122
Fantasy,3840700.0,6.81928571429,140
Film-Noir,0.0,6.89714285714,105
History,50970.0,6.87540983607,122
Horror,0.0,6.575,148
Music,0.0,6.6,67
Musical,0.0,6.81966527197,239
Mystery,17599.0,6.71157407407,216
N/A,0.0,6.625,8
News,0.0,6.3,1
Romance,18263665.0,6.91359593393,787
Sci-Fi,529603.0,6.75227272727,44
Short,0.0,6.56961538462,260
Sport,0.0,6.98214285714,28
Thriller,0.0,6.7900990099,101
War,172885.0,6.8683908046,174
Western,0.0,6.37435897436,117
