genre,boxoffice,rating,0
Action,5811435699.0,5.95295019157,2610
Adult,0.0,4.89090909091,11
Adventure,7007478869.0,6.16290502793,1790
Animation,2067101192.0,6.90422764228,615
Biography,433667285.0,7.02749615975,651
Comedy,7418958926.0,6.25015511892,5802
Crime,3133601751.0,6.40712863401,2511
Documentary,259034579.0,7.34052697616,797
Drama,6623512214.0,6.66467276566,8526
Family,2297272039.0,6.20440251572,954
Fantasy,3936393692.0,6.04754098361,976
Film-Noir,0.0,7.4,2
History,475744328.0,7.19099804305,511
Horror,979308291.0,5.50859419465,1757
Music,199929420.0,6.82452830189,530
Musical,85617699.0,6.43026315789,304
Mystery,1296292647.0,6.34518743668,987
N/A,0.0,6.26493506494,77
Romance,2644813534.0,6.47477768795,2474
Sci-Fi,1514338234.0,5.46769383698,1006
Short,243967900.0,7.13401360544,294
Sport,467989700.0,6.21985559567,277
Talk-Show,0.0,7.0,1
Thriller,3110141436.0,6.05092307692,1950
War,235601422.0,6.90452755906,508
Western,26627797.0,6.2622327791,421
