genre,boxoffice,rating,0
Action,0.0,6.56730769231,104
Adventure,0.0,6.31627906977,172
Animation,0.0,7.14666666667,15
Biography,0.0,6.94615384615,39
Comedy,121137.0,6.66447368421,380
Crime,549182.0,6.96233766234,154
Documentary,0.0,7.60555555556,18
Drama,722650.0,7.04317548747,718
Family,0.0,6.59402985075,67
Fantasy,0.0,6.00793650794,63
Film-Noir,0.0,7.4,1
History,0.0,6.89206349206,63
Horror,0.0,5.8816,125
Music,0.0,6.63684210526,19
Musical,0.0,6.27959183673,49
Mystery,0.0,6.99493670886,79
N/A,0.0,5.8,3
Romance,39946.0,6.87754010695,187
Sci-Fi,0.0,5.23918918919,74
Short,0.0,7.315,20
Sport,0.0,6.75454545455,11
Thriller,148501.0,7.01808510638,94
War,24296.0,7.10888888889,90
Western,0.0,6.59777777778,45
