genre,boxoffice,rating,0
Action,274809377.0,6.05778045838,1658
Adult,0.0,4.89090909091,11
Adventure,53383722.0,6.2013877551,1225
Animation,270177960.0,7.13418530351,313
Biography,75482.0,7.06135770235,383
Comedy,434442722.0,6.30709060214,3554
Crime,209019717.0,6.45669390321,1591
Documentary,15642.0,7.32886075949,395
Drama,148904519.0,6.73289324783,5302
Family,199832960.0,6.46891385768,534
Fantasy,64833435.0,6.0993485342,614
Film-Noir,0.0,7.4,2
History,41051.0,7.22,350
Horror,320325.0,5.57869822485,1352
Music,1899610.0,6.74294478528,326
Musical,4000000.0,6.385,220
Mystery,0.0,6.38793103448,638
N/A,0.0,6.27346938776,49
Romance,13467299.0,6.5460960961,1332
Sci-Fi,247362500.0,5.50523952096,668
Short,213950000.0,7.24024390244,164
Sport,80804.0,6.22236842105,152
Thriller,259611110.0,6.20025041736,1198
War,12890968.0,6.85755208333,384
Western,25097.0,6.30211081794,379
