genre,boxoffice,rating,0
Action,0.0,6.6,7
Adventure,0.0,6.84545454545,11
Animation,0.0,6.88571428571,7
Biography,0.0,6.7,2
Comedy,0.0,6.17833333333,60
Crime,0.0,6.67857142857,14
Documentary,0.0,5.17857142857,14
Drama,0.0,6.49193548387,62
Family,0.0,6.6,4
Fantasy,0.0,6.45142857143,35
History,0.0,6.37142857143,7
Horror,0.0,6.62,5
Music,0.0,6.9,1
Mystery,0.0,6.73333333333,3
Romance,0.0,6.53636363636,11
Sci-Fi,0.0,6.75,2
Short,0.0,6.11693548387,124
Sport,0.0,6.8,1
War,0.0,6.475,4
Western,0.0,6.63333333333,3
