genre,boxoffice,rating,0
Action,25097.0,6.39590361446,415
Adult,0.0,4.6,1
Adventure,135620.0,6.35068493151,438
Animation,213950000.0,7.20923076923,65
Biography,18177.0,7.02718446602,103
Comedy,218779335.0,6.55595126523,1067
Crime,609056.0,6.68417849899,493
Documentary,0.0,7.12478632479,117
Drama,926698.0,6.89292553191,1880
Family,4000000.0,6.49333333333,165
Fantasy,4000000.0,6.24052287582,153
Film-Noir,0.0,7.4,1
History,18177.0,7.15611510791,139
Horror,320325.0,5.82,390
Music,0.0,6.81688311688,77
Musical,4000000.0,6.4,108
Mystery,0.0,6.57422222222,225
N/A,0.0,6.1,15
Romance,57621.0,6.77043879908,433
Sci-Fi,203123.0,5.48324873096,197
Short,213950000.0,7.2546875,64
Sport,0.0,6.48148148148,27
Thriller,176125.0,6.57113095238,336
War,4763364.0,7.02623762376,202
Western,25097.0,6.28678571429,280
