genre,boxoffice,rating,0
Action,0.0,6.53456790123,81
Adventure,0.0,6.26736111111,144
Animation,0.0,7.09090909091,11
Biography,0.0,6.9,34
Comedy,121137.0,6.70097402597,308
Crime,549182.0,6.99473684211,133
Documentary,0.0,7.58235294118,17
Drama,722650.0,7.04642262895,601
Family,0.0,6.57543859649,57
Fantasy,0.0,6.04909090909,55
Film-Noir,0.0,7.4,1
History,0.0,6.88518518519,54
Horror,0.0,5.84489795918,98
Music,0.0,6.48823529412,17
Musical,0.0,6.43170731707,41
Mystery,0.0,7.05483870968,62
N/A,0.0,3.7,1
Romance,39946.0,6.88993710692,159
Sci-Fi,0.0,5.24915254237,59
Short,0.0,7.45384615385,13
Sport,0.0,6.72222222222,9
Thriller,148501.0,6.98656716418,67
War,24296.0,7.06865671642,67
Western,0.0,6.63636363636,33
